marca,modelo,ano,quilometragem,preco,combustivel,car_documents,tipo,transmissão,year_range,km's driven_range,faixa_preco,faixa_preco_prevista,valor_estimado
Suzuki,Baleno,2004,1000.0,700000,Gasolina,Original,Nacional,Manual,1,1,Luxo,Luxo,681403.3241134752
FAW,V2,2018,94000.0,125000,Gasolina,Original,Importado,Manual,5,4,Econômico,Econômico,149497.18328086744
Suzuki,Alto,2005,50000.0,150000,Gasolina,Original,Importado,Automatic,2,2,Econômico,Econômico,149497.18328086744
Honda,City IDSI,2007,191000.0,198000,Gasolina,Original,Nacional,Manual,2,7,Econômico,Econômico,149497.18328086744
Mitsubishi,Ek Wagon,2011,114000.0,155000,Gasolina,Original,Importado,Automatic,3,4,Econômico,Econômico,149497.18328086744
Honda,City IVTEC,2019,34000.0,380000,Gasolina,Original,Nacional,Manual,5,2,Premium,Premium,350855.0221465077
Daihatsu,Hijet,2012,315439.0,128000,Gasolina,Original,Importado,Automatic,3,11,Econômico,Econômico,149497.18328086744
Daihatsu,Cuore,2010,36000.0,950000,Gasolina,Original,Nacional,Manual,3,2,Luxo,Luxo,681403.3241134752
Honda,Civic Prosmetic,2002,187000.0,147500,Gasolina,Original,Importado,Automatic,1,7,Econômico,Econômico,149497.18328086744
Suzuki,Swift,2016,177500.0,179000,Gasolina,Original,Nacional,Manual,4,6,Econômico,Econômico,149497.18328086744
Suzuki,Bolan,2018,70000.0,124900,Gasolina,Original,Nacional,Manual,5,3,Econômico,Econômico,149497.18328086744
Suzuki,Alto,2001,100000.0,575000,Gasolina,Original,Nacional,Manual,1,4,Luxo,Luxo,681403.3241134752
Suzuki,Ravi,2013,100000.0,575000,Gasolina,Original,Importado,Manual,4,4,Luxo,Luxo,681403.3241134752
Suzuki,Mehran VXR,2017,85000.0,120000,Gasolina,Original,Nacional,Manual,5,3,Econômico,Econômico,149497.18328086744
Daihatsu,Cuore,2009,107361.0,950000,Gasolina,Original,Nacional,Manual,3,4,Luxo,Luxo,681403.3241134752
Suzuki,Wagon R,2016,117980.0,187500,Gasolina,Original,Nacional,Manual,4,4,Econômico,Econômico,149497.18328086744
Suzuki,Alto,2006,10000.0,450000,Gasolina,Original,Nacional,Manual,2,1,Luxo,Luxo,681403.3241134752
Suzuki,Bolan,2008,200000.0,850000,Gasolina,Original,Nacional,Manual,2,7,Luxo,Luxo,681403.3241134752
Daihatsu,Mira,2015,133600.0,205000,Gasolina,Original,Importado,Automatic,4,5,Intermediário,Intermediário,245657.07356430945
Suzuki,Bolan,2007,100000.0,750000,Gasolina,Original,Nacional,Manual,2,4,Luxo,Luxo,681403.3241134752
Toyota,Corolla GLI,2018,84000.0,425000,Gasolina,Original,Nacional,Manual,5,3,Luxo,Luxo,681403.3241134752
Honda,Civic Prosmetic,2012,100000.0,240000,Gasolina,Original,Nacional,Manual,3,4,Intermediário,Intermediário,245657.07356430945
FAW,V2,2016,85000.0,132500,Gasolina,Original,Nacional,Manual,4,3,Econômico,Econômico,149497.18328086744
Hyundai,Santro,2003,92000.0,100000,Gasolina,Original,Importado,Manual,1,4,Econômico,Econômico,149497.18328086744
Toyota,Corrolla Altis,2005,200000.0,200000,Gasolina,Original,Nacional,Automatic,2,7,Econômico,Econômico,149497.18328086744
